package	version	architecture	priority	essential	installed_size_kib	owned_executable_or_elf_files	selection
adduser	3.152	all	important	no	428	3	minbase/dependency
apt	3.0.3	i386	required	no	4409	25	minbase/dependency
base-files	13.8+deb13u6	i386	required	yes	348	1	minbase/dependency
base-passwd	3.6.7	i386	required	yes	267	1	minbase/dependency
bash	5.2.37-2+b9	i386	required	yes	7327	3	minbase/dependency
bsdutils	1:2.41-5	i386	required	yes	411	6	minbase/dependency
ca-certificates	20250419	all	standard	no	390	2	explicit --include
coreutils	9.7-3	i386	required	yes	18739	106	minbase/dependency
dash	0.5.12-12	i386	required	yes	214	1	minbase/dependency
debconf	1.5.91	all	required	no	497	11	minbase/dependency
debian-archive-keyring	2025.1	all	important	no	302	0	minbase/dependency
debianutils	5.23.2	i386	required	yes	218	9	minbase/dependency
dhcpcd-base	1:10.1.0-11+deb13u3	i386	important	no	538	3	explicit --include
diffutils	1:3.10-4	i386	required	yes	1786	4	minbase/dependency
dpkg	1.22.22	i386	required	yes	6708	14	minbase/dependency
e2fsprogs	1.47.2-3+b11	i386	important	no	1625	20	explicit --include
findutils	4.10.0-3	i386	required	yes	2194	2	minbase/dependency
gcc-14-base	14.2.0-19	i386	optional	no	112	0	minbase/dependency
grep	3.11-4	i386	required	yes	1281	4	minbase/dependency
gzip	1.13-1	i386	required	yes	259	13	minbase/dependency
hostname	3.25	i386	required	yes	45	1	minbase/dependency
ifupdown	0.8.44+deb13u1	i386	important	no	197	9	explicit --include
init-system-helpers	1.69~deb13u1	all	required	yes	133	5	minbase/dependency
initscripts	3.14-4	all	optional	no	203	33	minbase/dependency
insserv	1.26.0-1	i386	optional	no	143	5	minbase/dependency
iproute2	6.15.0-1	i386	important	no	4076	16	explicit --include
kmod	34.2-2	i386	important	no	274	2	explicit --include
libacl1	2.3.2-2+b1	i386	optional	no	78	1	minbase/dependency
libapparmor1	4.1.0-1	i386	optional	no	114	1	minbase/dependency
